Energy,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hydro,3724.30,3764.80,3644.80,3584.70,3606.70,3635.30,3730.90,3784.30,3795.40,3868.00,3935.10,3949.50,3971.70,3959.30
Wind,165.10,220.00,267.50,344.10,449.40,587.30,755.50,882.70,1066.40,1214.10,1280.10,1315.40,1420.30,1478.80
Solar,2.50,2.70,3.00,3.30,16.60,58.20,163.90,928.30,1621.80,1856.30,1918.00,1972.70,1900.60,2096.10
Solid biofuels,164.50,186.30,198.80,197.60,236.10,243.10,194.40,216.90,222.00,316.30,328.70,339.40,354.60,363.90
All other renewables,666.00,673.40,715.60,733.30,751.50,865.90,1079.50,1200.70,1320.00,1628.60,1786.30,1857.70,1856.30,1830.50
Total renewables,4722.40,4847.10,4829.60,4863.10,5060.30,5389.80,5924.20,7012.90,8025.60,8883.20,9248.10,9434.60,9503.70,9728.60
Total energy,29356.10,29750.20,30324.70,30481.90,30400.90,28658.10,29487.00,29783.30,29269.20,28378.90,27672.60,28197.70,27942.40,28526.60
RES-E [%],16.09%,16.29%,15.93%,15.95%,16.65%,18.81%,20.09%,23.55%,27.42%,31.30%,33.42%,33.46%,34.01%,34.10%
