Energy,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hydro,8.60,8.60,8.60,8.60,8.60,8.60,8.70,8.60,8.60,8.60,8.80,8.50,8.40,8.10
Wind,151.70,174.90,218.40,272.10,337.60,385.50,387.30,406.40,424.80,461.60,499.50,594.70,719.20,829.00
Solar,2.90,3.00,3.10,3.20,3.40,3.90,4.80,9.00,16.40,35.30,62.40,95.30,137.70,189.50
Solid biofuels,125.40,193.20,158.20,169.40,220.40,305.20,360.90,341.90,340.50,249.20,180.50,163.50,163.90,152.40
All other renewables,160.50,260.30,288.10,176.10,222.20,221.80,246.00,264.80,280.70,266.80,256.50,268.50,266.70,254.30
Total renewables,449.00,640.00,676.50,629.40,792.20,924.90,1007.70,1030.70,1071.00,1021.50,1007.60,1130.50,1295.90,1433.40
Total energy,10097.20,10164.60,10343.30,10556.70,10610.70,10196.20,10494.00,10580.60,10347.80,10306.70,10153.50,10243.90,10329.00,10384.00
RES-E [%],0.04,0.06,0.07,0.06,0.07,0.09,0.10,0.10,0.10,0.10,0.10,0.11,0.13,0.14
