Energy,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hydro,562.50,565.60,571.50,862.60,938.50,952.10,971.20,985.20,991.60,1055.00,1061.20,1073.80,1083.50,1099.20
Wind,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.70,0.90,0.80,0.70
Solar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Solid biofuels,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
All other renewables,127.80,142.90,226.40,307.80,347.20,391.50,383.90,404.30,447.90,451.00,450.40,430.20,435.70,444.50
Total renewables,690.20,708.60,797.90,1170.40,1285.80,1343.60,1355.20,1389.40,1439.50,1506.30,1512.30,1504.80,1520.00,1544.50
Total energy,741.40,746.90,853.80,1029.80,1415.90,1447.50,1466.80,1479.90,1508.90,1557.70,1558.30,1616.40,1595.00,1654.20
RES-E [%],93.09%,94.87%,93.45%,113.65%,90.81%,92.83%,92.39%,93.89%,95.40%,96.70%,97.05%,93.10%,95.30%,93.37%
