Energy,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hydro,376.60,376.70,377.10,377.90,383.30,369.30,376.90,376.70,377.50,382.10,381.80,378.50,375.30,369.30
Wind,0.50,0.60,0.60,0.70,0.60,0.50,0.40,0.40,0.40,0.60,0.60,0.40,0.50,0.50
Solar,0.00,0.00,0.00,0.00,0.00,0.00,1.50,34.10,36.50,50.60,51.30,43.50,45.80,43.50
Solid biofuels,0.30,0.30,31.60,37.90,41.30,42.40,52.10,58.60,62.30,58.20,78.80,94.50,97.10,92.90
All other renewables,1.50,2.40,2.70,2.80,3.20,3.80,4.80,11.80,18.70,20.10,43.10,48.40,51.80,53.00
Total renewables,378.80,380.00,411.90,419.30,428.40,416.00,435.60,481.60,495.30,511.60,555.50,565.30,570.40,559.10
Total energy,2459.00,2415.00,2486.70,2546.60,2517.80,2341.50,2451.00,2494.80,2469.60,2459.60,2429.10,2495.30,2533.80,2619.70
RES-E [%],15.40%,15.73%,16.57%,16.47%,17.01%,17.76%,17.77%,19.31%,20.05%,20.80%,22.87%,22.66%,22.51%,21.34%
