Energy,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hydro,415.10,403.50,405.20,402.90,432.10,431.50,422.00,439.70,446.70,443.40,446.90,460.30,479.60,491.10
Wind,162.80,242.80,351.40,444.30,605.60,803.90,969.70,1235.50,1637.70,2228.10,2713.60,3222.10,3498.80,4199.30
Solar,0.30,0.70,0.90,1.20,1.50,1.70,3.50,20.90,116.40,172.80,348.60,647.70,895.20,991.00
Solid biofuels,166.80,290.10,284.90,253.60,263.30,313.10,402.00,471.10,560.60,842.50,1188.60,1670.10,1684.40,1785.30
All other renewables,465.60,492.60,512.90,548.20,559.30,608.30,652.60,673.80,706.80,714.30,758.10,864.10,932.00,998.00
Total renewables,1210.70,1429.80,1555.30,1650.20,1861.70,2158.50,2449.70,2841.10,3468.00,4401.20,5455.80,6864.40,7490.10,8464.70
Total energy,34287.90,34716.00,34475.30,34237.80,34034.60,32322.10,32810.10,31916.60,32052.90,31796.30,30585.50,30714.90,30443.50,30111.20
RES-E [%],3.53%,4.12%,4.51%,4.82%,5.47%,6.68%,7.47%,8.90%,10.82%,13.84%,17.84%,22.35%,24.60%,28.11%
