Energy,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hydro,67.60,65.40,65.10,64.10,65.10,64.80,64.80,64.60,65.30,63.40,62.60,62.30,62.80,61.60
Wind,61.90,94.60,135.10,164.10,198.80,260.10,293.40,340.40,366.60,403.10,455.80,528.00,559.40,650.60
Solar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.20,0.30,0.50,0.90
Solid biofuels,0.70,0.70,0.70,1.20,2.80,5.60,9.40,11.70,15.40,19.50,22.80,16.90,34.00,32.80
All other renewables,8.70,10.50,10.40,13.40,15.10,16.00,17.60,17.20,22.70,22.30,23.70,24.00,24.10,30.00
Total renewables,138.90,171.20,211.30,242.80,281.90,346.60,385.30,434.00,470.00,508.30,565.10,631.50,680.90,775.90
Total energy,2303.40,2379.20,2484.50,2508.90,2610.30,2469.70,2463.20,2377.90,2369.50,2391.90,2403.80,2473.80,2537.00,2578.50
RES-E [%],6.03%,7.20%,8.50%,9.68%,10.80%,14.03%,15.64%,18.25%,19.84%,21.25%,23.51%,25.53%,26.84%,30.09%
