Energy,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hydro,5625.20,5608.70,5600.90,5536.90,5545.40,5442.50,5422.10,5357.90,5331.00,5375.40,5318.70,5246.10,5171.00,5117.70
Wind,54.50,92.20,185.20,332.00,503.00,700.90,901.10,1068.90,1219.00,1356.00,1490.00,1715.10,1926.80,2186.10
Solar,0.70,0.90,1.00,1.50,3.60,15.00,53.30,200.60,380.70,446.50,549.50,666.40,744.40,823.10
Solid biofuels,97.00,107.80,107.20,116.40,121.50,106.20,125.80,184.80,154.30,147.30,180.20,218.00,296.70,287.30
All other renewables,228.20,225.10,223.10,246.10,259.90,287.50,297.00,325.60,348.50,353.20,361.30,381.00,409.70,433.50
Total renewables,6005.60,6034.70,6117.40,6232.90,6433.40,6552.00,6799.40,7137.90,7433.60,7678.40,7899.70,8226.60,8548.60,8847.70
Total energy,43577.30,43927.90,43516.00,43620.00,44806.90,43423.90,45895.30,44022.40,44981.90,45424.20,42935.50,43866.80,44546.00,44445.00
RES-E [%],13.78%,13.74%,14.06%,14.29%,14.36%,15.09%,14.81%,16.21%,16.53%,16.90%,18.40%,18.75%,19.19%,19.91%
