Energy,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hydro,1187.30,1305.20,1408.90,1436.80,1463.10,1471.10,1488.90,1479.80,1457.30,1385.10,1386.60,1416.80,1435.00,1413.90
Wind,0.00,0.00,0.00,0.10,0.40,0.80,25.60,111.70,227.40,380.40,512.30,564.60,550.90,566.70
Solar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.70,36.10,139.00,170.40,156.50,159.60
Solid biofuels,0.30,0.50,0.40,2.90,2.00,0.90,9.40,16.20,16.50,17.30,39.00,39.70,40.10,39.40
All other renewables,0.00,0.00,0.00,0.20,0.10,0.00,0.10,0.70,1.70,4.30,4.40,5.20,5.60,5.70
Total renewables,1187.60,1305.70,1409.30,1440.00,1465.50,1472.90,1524.00,1608.60,1703.70,1823.20,2081.30,2196.80,2188.00,2185.30
Total energy,4756.40,4859.00,5023.60,5123.20,5219.90,4767.50,5016.80,5167.10,5075.40,4859.90,4993.60,5089.70,5122.80,5248.80
RES-E [%],24.97%,26.87%,28.05%,28.11%,28.08%,30.89%,30.38%,31.13%,33.57%,37.52%,41.68%,43.16%,42.71%,41.63%
