Energy,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hydro,261,253.4,249.5,250.2,251.2,251.7,260.8,266.3,270,262.7,257.7,251.4,245.5,256.2
Wind,3.9,3.9,3.9,4.2,4.5,4.7,4.8,5.6,8.5,10.8,12,12.5,12.3,12.7
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solid biofuels,0.5,0.5,0.6,0.4,0.4,0.3,0.7,1.1,5.5,18.5,27.4,32.5,36.7,45.2
All other renewables,2.7,3.1,3.1,3.1,3.4,3.8,4.9,9.1,19.2,24.6,30.1,33.7,34.1,34.9
Total renewables,268.2,261,257.1,258.1,259.6,260.5,271.2,282,303.2,316.6,327.2,330.2,328.7,349
Total energy,583.5,606.5,636.2,668.2,670.2,621.1,644.9,631,675.7,650.4,641.3,632.3,641.3,642
RES-E [%],45.96%,43.02%,40.41%,38.62%,38.73%,41.94%,42.05%,44.69%,44.88%,48.68%,51.03%,52.21%,51.25%,54.36%
