Energy,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hydro,2782.30,2723.50,2703.10,2738.20,2717.40,2677.90,2789.80,2702.10,2588.60,2689.80,2757.90,2741.00,2691.10,2665.10
Wind,1392.30,1782.40,2072.20,2489.20,2905.60,3292.80,3672.10,3838.70,4090.50,4360.00,4420.80,4389.90,4428.40,4403.30
Solar,4.80,3.50,10.20,43.70,221.70,521.40,617.90,808.20,1029.00,1126.10,1175.60,1191.70,1173.10,1237.90
Solid biofuels,190.30,135.70,135.30,133.50,162.30,188.90,215.60,258.90,292.00,356.30,328.50,345.10,348.10,375.30
All other renewables,96.00,92.40,103.30,115.60,117.50,111.00,129.60,137.40,135.90,142.30,137.00,150.50,141.20,148.70
Total renewables,4465.80,4737.50,5024.10,5520.30,6124.40,6792.00,7425.00,7745.30,8136.00,8674.50,8819.80,8818.30,8781.80,8830.30
Total energy,23527.40,24772.30,25133.40,25459.00,25790.10,24399.40,24934.40,24543.60,24311.50,23619.40,23348.50,23865.00,23987.60,24299.80
RES-E [%],18.98%,19.12%,19.99%,21.68%,23.75%,27.84%,29.78%,31.56%,33.47%,36.73%,37.77%,36.95%,36.61%,36.34%
