Energy,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wind,0,0,0,0,0,0,2.7,9,13.8,16.2,16.1,17.6,19.1,19.1
Solar,0,0,0.1,0.1,0.2,0.3,0.5,1,1.9,4.1,7.2,10.9,12.5,14.8
Solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All other renewables,0,0,0,0.1,1,2.3,3,4.4,4.3,4.2,4.3,4.4,4.5,4.4
Total renewables,0,0,0.1,0.3,1.2,2.6,6.2,14.5,19.9,24.5,27.6,32.9,36.1,38.3
Total energy,361.2,376.4,400,418.8,436.7,448.4,457.6,423.8,405.6,368.9,374,389.8,420.2,430.3
RES-E [%],0.01%,0.01%,0.02%,0.07%,0.28%,0.58%,1.36%,3.42%,4.91%,6.64%,7.39%,8.44%,8.59%,8.90%
