Energy,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hydro,508.40,528.90,536.10,534.80,541.90,557.90,591.00,573.30,566.40,593.50,601.30,602.90,597.40,592.20
Wind,0.00,1.00,2.10,3.10,3.20,6.40,11.20,16.40,25.80,38.90,57.60,72.70,87.60,103.60
Solar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,1.00,3.00,4.90,5.60,6.80
Solid biofuels,0.30,0.30,0.40,0.20,0.20,0.30,0.30,1.60,3.20,4.10,4.30,7.70,16.70,18.60
All other renewables,0.00,0.90,0.50,0.40,1.60,1.80,2.60,3.10,4.90,6.70,9.80,15.10,20.40,26.60
Total renewables,508.80,531.20,539.10,538.50,546.90,566.50,605.10,594.40,600.50,644.20,676.10,703.40,727.80,747.80
Total energy,1452.50,1501.90,1541.50,1585.80,1615.90,1579.80,1613.40,1582.00,1549.80,1531.90,1495.20,1549.80,1560.20,1611.10
RES-E [%],35.03%,35.37%,34.97%,33.96%,33.85%,35.86%,37.50%,37.57%,38.74%,42.06%,45.22%,45.39%,46.64%,46.42%
