Energy,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar,0,0,0,0,0,0,0.1,0.4,1.4,2.5,5.9,8.2,10.9,13.3
Solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All other renewables,0,0,0,0,0,0,0,0.4,0.8,0.5,0.6,0.6,0.7,0.8
Total renewables,0,0,0,0,0,0,0.1,0.9,2.2,3,6.4,8.7,11.6,14.2
Total energy,190.5,192.6,194.4,197.4,198.8,186.4,181.8,187.4,197.2,193.6,193,202.7,204.9,215.4
RES-E [%],0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.45%,1.12%,1.57%,3.33%,4.31%,5.68%,6.58%
