Energy,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hydro,35.00,36.90,36.80,36.40,36.00,35.60,36.10,36.50,37.00,37.10,36.90,36.70,37.20,38.40
Wind,0.10,0.20,1.30,7.30,10.30,14.70,21.20,35.10,48.40,54.50,55.90,71.90,92.70,105.30
Solar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,3.90,6.30,6.30,5.70,5.80
Solid biofuels,0.40,0.20,1.70,4.20,5.10,7.50,10.00,10.40,15.10,24.00,25.20,27.40,23.10,26.10
All other renewables,0.20,0.30,0.50,0.50,0.80,1.30,2.60,3.10,3.60,6.70,9.20,11.00,14.60,17.20
Total renewables,35.60,37.70,40.30,48.40,52.20,59.10,69.90,85.30,104.20,126.10,133.50,153.30,173.40,192.80
Total energy,993.70,984.40,1001.60,1040.20,1063.60,1007.00,944.40,944.60,958.50,959.60,974.30,985.90,1027.60,1056.40
RES-E [%],3.59%,3.83%,4.02%,4.66%,4.91%,5.87%,7.40%,9.03%,10.87%,13.14%,13.70%,15.55%,16.88%,18.25%
