Energy,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hydro,7.80,7.90,8.10,8.30,8.70,8.80,8.90,8.90,9.00,9.00,9.10,8.90,8.90,8.90
Wind,3.80,4.60,4.70,4.80,5.40,5.90,5.80,5.70,6.40,7.20,7.10,7.80,10.90,15.90
Solar,0.80,1.50,1.80,1.80,1.70,1.70,1.80,2.20,3.30,6.30,8.10,8.90,8.60,9.30
Solid biofuels,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,1.80,2.10,2.20,4.50
All other renewables,3.70,4.00,4.70,5.40,6.00,6.70,7.20,8.10,8.80,8.50,8.70,9.20,10.00,10.40
Total renewables,16.10,18.10,19.30,20.30,21.80,23.20,23.70,25.00,27.50,31.10,34.80,36.90,40.70,49.00
Total energy,581.00,567.90,609.20,615.60,608.00,564.90,627.20,613.10,590.40,584.20,584.50,596.20,609.10,608.50
RES-E [%],2.76%,3.18%,3.17%,3.30%,3.58%,4.11%,3.79%,4.07%,4.66%,5.33%,5.96%,6.20%,6.67%,8.05%
