Energy,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hydro,354.90,354.70,358.50,353.90,356.40,370.80,371.60,360.90,357.70,371.90,376.40,368.80,367.30,383.80
Wind,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.50,0.50,0.60,0.50
Solar,0.00,0.00,0.00,0.00,0.10,0.30,1.10,5.60,14.00,18.50,22.10,23.60,23.00,24.40
Solid biofuels,7.80,7.00,6.50,5.60,20.00,10.30,10.30,10.80,9.80,10.20,10.70,11.30,11.70,13.30
All other renewables,2.60,2.80,3.00,4.10,4.80,5.90,8.40,10.90,13.20,12.10,11.20,11.40,12.20,11.20
Total renewables,365.30,364.40,368.00,363.70,381.30,387.30,391.40,388.20,394.60,413.00,420.90,415.60,414.80,433.20
Total energy,1248.10,1271.90,1303.40,1313.20,1272.60,1147.40,1215.40,1250.50,1247.60,1248.40,1239.90,1269.90,1293.60,1336.00
RES-E [%],29.27%,28.65%,28.23%,27.70%,29.96%,33.76%,32.20%,31.04%,31.63%,33.09%,33.94%,32.73%,32.06%,32.43%
